service,service_name,geo_type,geo_name,geo_slug,tier,proposed_url,priority,action
narkolog-na-dom,Нарколог на дом,metro,Первомайская,pervomajskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/pervomajskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Петровский парк,petrovskij-park,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/petrovskij-park/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Петровско-Разумовская,petrovsko-razumovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/petrovsko-razumovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Пионерская,pionerskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/pionerskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Планерная,planernaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/planernaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Площадь Гагарина,ploshchad-gagarina,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/ploshchad-gagarina/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Площадь Ильича,ploshchad-ilicha,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/ploshchad-ilicha/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Площадь Революции,ploshchad-revolyucii,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/ploshchad-revolyucii/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Полежаевская,polezhaevskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/polezhaevskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Полянка,polyanka,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/polyanka/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Пражская,prazhskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/prazhskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Преображенская площадь,preobrazhenskaya-ploshchad,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/preobrazhenskaya-ploshchad/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Профсоюзная,profsoyuznaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/profsoyuznaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Пролетарская,proletarskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/proletarskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Проспект Мира,prospekt-mira,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/prospekt-mira/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Проспект Вернадского,prospekt-vernadskogo,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/prospekt-vernadskogo/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Пушкинская,pushkinskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/pushkinskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Пятницкое шоссе,pyatnickoe-shosse,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/pyatnickoe-shosse/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Раменки,ramenki,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/ramenki/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Речной вокзал,rechnoj-vokzal,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/rechnoj-vokzal/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Римская,rimskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/rimskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Рижская,rizhskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/rizhskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Ростокино,rostokino,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/rostokino/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Румянцево,rumyancevo,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/rumyancevo/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Рязанский проспект,ryazanskij-prospekt,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/ryazanskij-prospekt/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Саларьево,salarevo,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/salarevo/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Савёловская,savelovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/savelovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Селигерская,seligerskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/seligerskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Семёновская,semenovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/semenovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Серпуховская,serpuhovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/serpuhovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Севастопольская,sevastopolskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/sevastopolskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Шаболовская,shabolovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/shabolovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Шелепиха,shelepiha,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/shelepiha/,P0,migrate/create
